ID,Gender Groups Y/N,Race Groups Y/N,Gender Comps Y/N,Race Comps Y/N,Empowerment Sent,Gender Group Sent,Race Group Sent,Gender Comp Sent,Race Comp Sent,Improvement Sent,Age,Occupation/Title,Are you a current student?,Gender,Education,School,Cluster
1,Yes,Yes,No,No,negative,negative,positive,neutral,negative,neutral,18 - 24,Credit officer,No,Female,Bachelor's Degree,University of Texas,0
2,Yes,Yes,No,No,negative,positive,negative,negative,positive,positive,18 - 24,Student,"Yes, Full-Time",Male,Bachelor's Degree,University of Texas,1
3,Yes,n/a,No,No,negative,negative,negative,negative,negative,negative,18 - 24,Student,"Yes, Full-Time",Female,Bachelor's Degree,University of Texas,1
4,Yes,Yes,No,No,neutral,neutral,neutral,negative,neutral,neutral,25 - 34,Senior Financial Analyst,No,Female,Bachelor's Degree,University of Texas,0
5,Yes,Yes,No,No,neutral,neutral,negative,positive,neutral,neutral,35 - 44,Public Relations Director,No,Female,Bachelor's Degree,University of Texas,0
6,Yes,Yes,"Yes, but",No,positive,negative,negative,negative,negative,neutral,25 - 34,Consultant,No,Male,Bachelor's Degree,University of Texas,2
7,Yes,Yes,Yes,Yes,negative,negative,negative,negative,negative,negative,18 - 24,Business Operations Associate,No,Female,Bachelor's Degree,University of Texas,2
8,Yes,Yes,No,n/a,negative,neutral,positive,neutral,neutral,neutral,18 - 24,Student,"Yes, Full-Time",Male,High School Graduate,University of Texas,1
9,Yes,Yes,Yes,Yes,negative,neutral,neutral,neutral,neutral,negative,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas,1
10,Yes,Yes,No,No,positive,neutral,negative,positive,neutral,positive,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas,1
11,Yes,Yes,No,No,negative,positive,negative,positive,positive,neutral,25 - 34,Marketing Analyst,No,Female,Bachelor's Degree,University of Texas,0
12,Yes,Yes,No,No,neutral,positive,neutral,negative,positive,n/a,18 - 24,Student,"Yes, Full-Time",Female,Graduate Degree,University of Texas,1
13,Yes,Yes,No,No,negative,negative,neutral,neutral,negative,neutral,25 - 34,Partner Manager,No,Female,Bachelor's Degree,University of Texas,0
14,Yes,Yes,No,No,neutral,positive,neutral,negative,positive,neutral,25 - 34,Designer,No,Male,Bachelor's Degree,UCLA,0
15,No,No,No,No,neutral,neutral,positive,neutral,neutral,neutral,25 - 34,CEO,No,Male,Bachelor's Degree,University of Texas,0
